Date/Time (PST),""" (5380') Paradise Wind",""" (5400') Paradise",""" (6410') Sunrise Base",""" (6880') Sunrise Upper",""" (10110') Camp Muir"
12/31/2014,,56.22,48.71,,
12/30/2014,,56.09,47.68,,
12/30/2014,,56.27,46.7,,
12/30/2014,,56.85,47.95,,
12/30/2014,,57.37,47.14,,
12/30/2014,,58.16,49.3,,
12/30/2014,,57.51,50.09,,
12/30/2014,,56.94,48.76,,
12/30/2014,,57.95,50.15,,
12/30/2014,,58.08,50.01,,
12/30/2014,,59.39,50.08,,
12/30/2014,,57.95,50.61,,
12/30/2014,,52.96,50.41,,
12/30/2014,,58.41,50.21,,
12/30/2014,,58.08,50.08,,
12/30/2014,,59,49.82,,
12/30/2014,,58.25,50.61,,
12/30/2014,,58.27,50.28,,
12/30/2014,,58.56,50.44,,
12/30/2014,,58.82,50.16,,
12/30/2014,,58.56,49.75,,
12/30/2014,,60.07,49.9,,
12/30/2014,,58.69,49.9,,
12/30/2014,,58.82,50.43,,
12/30/2014,,58.64,50.43,,
12/29/2014,,58.05,48.89,,
12/29/2014,,58.77,50.01,,
12/29/2014,,59.03,50.34,,
12/29/2014,,59.16,48.82,,
12/29/2014,,60.6,48.42,,
12/29/2014,,60.08,49.15,,
12/29/2014,,62.31,49.81,,
12/29/2014,,55.23,50.6,,
12/29/2014,,60.74,49.83,,
12/29/2014,,60.87,51.42,,
12/29/2014,,61.13,51.62,,
12/29/2014,,299.5,51.82,,
12/29/2014,,294.7,51.07,,
12/29/2014,,39.22,49.94,,
12/29/2014,,59.82,48.46,,
12/29/2014,,59.99,48.46,,
12/29/2014,,60.26,48.29,,
12/29/2014,,55.47,48.37,,
12/29/2014,,59.5,48.76,,
12/29/2014,,299.5,48.23,,
12/29/2014,,59.5,47.43,,
12/29/2014,,49.6,48.77,,
12/29/2014,,299.5,48.66,,
12/29/2014,,55.57,48.4,,
12/28/2014,,48.4,48.1,,
12/28/2014,,299.5,47.78,,
12/28/2014,,34.28,48.18,,
12/28/2014,,34.65,48.53,,
12/28/2014,,35.24,49.06,,
12/28/2014,,52.95,48.99,,
12/28/2014,,299.5,48.6,,
12/28/2014,,36.29,48.6,,
